respuesta_seleccionada,respuesta_correcta
streamlit,streamlit
IDIS (Indicadores que me demuestran que esta interesada en mi),IDIS (Indicadores que me demuestran que esta interesada en mi)
Decorar Frases.,Decorar Frases.
Comportamientos del AVEN.,Comportamientos del AVEN.
Google Cloud Functions.,Google Cloud Functions.
Decorar Frases.,Decorar Frases.
"Genera un valor aleatorio entre los límites de la distribución de la variable aleatoria, y mide el área debajo de ese punto (La altura) respecto a la distribución de probabilidad que quiero modelar y tambien lo que queda hacia arriba respecto a la función t(x) constante que siempre está encima, si el área de t(x) respecto a f(x) es mayor al área debajo de f(x) quiere decir que es poco probable que esa realización ocurra. ","Generamos una probabilidad aleatoria P y si ese número cae en el rango de probabilidad debajo de la f(x) pues esa realización aleatoria será aceptada, si la P cae encima pues no acepto la realización (La probabilidad de aceptar osea la altura debajo de fx) es f(x)/t(x) en ese punto)"
LDA (Latent Dirichler Allocation),LDA (Latent Dirichler Allocation)
Cualificar.,Cualificar.
AWS Glue Data Brew. SageMaker Data Wrangler,AWS Glue Data Brew. SageMaker Data Wrangler
